Fecha;Unidades
1/01/2012;0
2/01/2012;188
3/01/2012;482
4/01/2012;927
5/01/2012;1159
6/01/2012;996
7/01/2012;243
8/01/2012;0
9/01/2012;0
10/01/2012;697
11/01/2012;956
12/01/2012;1001
13/01/2012;1170
14/01/2012;372
15/01/2012;1
16/01/2012;805
17/01/2012;913
18/01/2012;1049
19/01/2012;979
20/01/2012;1018
21/01/2012;312
22/01/2012;0
23/01/2012;802
24/01/2012;893
25/01/2012;1030
26/01/2012;1108
27/01/2012;1049
28/01/2012;369
29/01/2012;2
30/01/2012;823
31/01/2012;1046
1/02/2012;1142
2/02/2012;1185
3/02/2012;1295
4/02/2012;344
5/02/2012;0
6/02/2012;853
7/02/2012;1170
8/02/2012;1177
9/02/2012;1182
10/02/2012;1191
11/02/2012;411
12/02/2012;1
13/02/2012;881
14/02/2012;1120
15/02/2012;1126
16/02/2012;1098
17/02/2012;1243
18/02/2012;309
19/02/2012;0
20/02/2012;733
21/02/2012;994
22/02/2012;1186
23/02/2012;1247
24/02/2012;1315
25/02/2012;386
26/02/2012;0
27/02/2012;855
28/02/2012;1239
29/02/2012;1157
1/03/2012;1201
2/03/2012;1342
3/03/2012;358
4/03/2012;0
5/03/2012;886
6/03/2012;1209
7/03/2012;1553
8/03/2012;1340
9/03/2012;1279
10/03/2012;489
11/03/2012;1
12/03/2012;971
13/03/2012;1305
14/03/2012;1366
15/03/2012;1357
16/03/2012;1461
17/03/2012;339
18/03/2012;0
19/03/2012;0
20/03/2012;937
21/03/2012;1247
22/03/2012;1332
23/03/2012;1479
24/03/2012;139
25/03/2012;32
26/03/2012;1113
27/03/2012;1163
28/03/2012;1469
29/03/2012;1559
30/03/2012;1805
31/03/2012;485
1/04/2012;1
2/04/2012;1128
3/04/2012;1589
4/04/2012;1182
5/04/2012;1
6/04/2012;0
7/04/2012;1
8/04/2012;0
9/04/2012;770
10/04/2012;1196
11/04/2012;1467
12/04/2012;1456
13/04/2012;1369
14/04/2012;422
15/04/2012;0
16/04/2012;795
17/04/2012;1067
18/04/2012;1360
19/04/2012;1083
20/04/2012;1443
21/04/2012;310
22/04/2012;0
23/04/2012;965
24/04/2012;1143
25/04/2012;1361
26/04/2012;1264
27/04/2012;737
28/04/2012;515
29/04/2012;34
30/04/2012;1286
1/05/2012;3
2/05/2012;965
3/05/2012;1228
4/05/2012;1349
5/05/2012;375
6/05/2012;0
7/05/2012;985
8/05/2012;1353
9/05/2012;1426
10/05/2012;1393
11/05/2012;1455
12/05/2012;230
13/05/2012;1
14/05/2012;1055
15/05/2012;1276
16/05/2012;1314
17/05/2012;1388
18/05/2012;1282
